year_quarter,oem,vehicle_model,battery_supplier,form_factor,chemistry,battery_capacity_kwh,ev_production_volume_units,total_battery_demand_gwh
2021-Q1,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,50149,3.0089
2021-Q1,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,74820,5.836
2021-Q1,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,31767,2.6049
2021-Q1,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,62235,3.7341
2021-Q1,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,57837,4.7426
2021-Q1,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,30463,2.3761
2021-Q1,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,21014,1.3659
2021-Q1,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,24141,2.4624
2021-Q1,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,6744,0.4721
2021-Q1,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,12224,1.1124
2021-Q1,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,17986,2.3562
2021-Q1,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,19768,1.53
2021-Q1,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,8035,0.6219
2021-Q1,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,27110,2.0983
2021-Q1,Kia,EV6,SK_ON,Pouch,NCM811,77.4,24563,1.9012
2021-Q1,Kia,EV9,SK_ON,Pouch,NCM811,99.8,24951,2.4901
2021-Q2,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,54252,3.2551
2021-Q2,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,99474,7.759
2021-Q2,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,39848,3.2675
2021-Q2,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,69792,4.1875
2021-Q2,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,79030,6.4805
2021-Q2,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,34498,2.6908
2021-Q2,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,23864,1.5512
2021-Q2,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,24466,2.4955
2021-Q2,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,6482,0.4537
2021-Q2,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,11941,1.0866
2021-Q2,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,18461,2.4184
2021-Q2,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,21193,1.6403
2021-Q2,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,8688,0.6725
2021-Q2,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,30688,2.3753
2021-Q2,Kia,EV6,SK_ON,Pouch,NCM811,77.4,30241,2.3407
2021-Q2,Kia,EV9,SK_ON,Pouch,NCM811,99.8,28189,2.8133
2021-Q3,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,73932,4.4359
2021-Q3,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,131226,10.2356
2021-Q3,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,47670,3.9089
2021-Q3,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,100360,6.0216
2021-Q3,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,114976,9.428
2021-Q3,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,47666,3.7179
2021-Q3,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,34387,2.2352
2021-Q3,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,37294,3.804
2021-Q3,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,10999,0.7699
2021-Q3,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,20768,1.8899
2021-Q3,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,31810,4.1671
2021-Q3,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,29179,2.2585
2021-Q3,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,12814,0.9918
2021-Q3,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,47746,3.6955
2021-Q3,Kia,EV6,SK_ON,Pouch,NCM811,77.4,42814,3.3138
2021-Q3,Kia,EV9,SK_ON,Pouch,NCM811,99.8,41804,4.172
2021-Q4,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,93311,5.5987
2021-Q4,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,150308,11.724
2021-Q4,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,60428,4.9551
2021-Q4,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,111030,6.6618
2021-Q4,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,113758,9.3282
