project_id,country,region,customer_utility_company,application,system_power_mw,storage_capacity_mwh,battery_manufacturer_id,cod,unit_price_usd_per_kwh
ESS_001,USA,North America,Vistra Energy,Renewable Integration,300.0,1200.0,LGES,2021-08-01,135.0
ESS_002,USA,North America,Vistra Energy,Peak Shaving,100.0,400.0,LGES,2021-12-01,130.0
ESS_003,USA,North America,Terra-Gen,Renewable Integration,1300.0,3287.0,LGES,2024-02-01,88.0
ESS_004,UK,Europe,Fluence,Frequency Regulation,100.0,100.0,LGES,2023-05-01,112.0
ESS_005,South Korea,Asia-Pacific,KEPCO,Frequency Regulation,150.0,300.0,LGES,2023-09-01,115.0
ESS_006,USA,North America,Salt River Project,Renewable Integration,100.0,400.0,LGES,2025-06-01,76.0
ESS_007,USA,North America,NextEra Energy,Renewable Integration,300.0,1200.0,LGES,2026-01-01,72.0
ESS_008,USA,North America,Florida Power & Light,Renewable Integration,409.0,900.0,CATL,2022-01-01,98.0
ESS_009,China,Asia-Pacific,State Grid,Peak Shaving,500.0,1000.0,CATL,2023-07-01,82.0
ESS_010,Australia,Asia-Pacific,CleanCo,Renewable Integration,200.0,800.0,CATL,2025-11-01,68.0
ESS_011,USA,North America,Vistra Energy,Renewable Integration,350.0,350.0,BYD,2023-04-01,92.0
ESS_012,Australia,Asia-Pacific,Vena Energy,Peak Shaving,100.0,150.0,SAMSUNG_SDI,2022-06-01,124.0
ESS_013,Germany,Europe,RWE,Renewable Integration,110.0,220.0,SAMSUNG_SDI,2024-10-01,94.0
ESS_014,USA,North America,KEPCO,Peak Shaving,89.7,179.4,LGES,2023-04-01,129.06
ESS_015,Australia,Asia-Pacific,Terra-Gen,Renewable Integration,16.2,32.4,SAMSUNG_SDI,2022-12-01,146.62
ESS_016,Australia,Asia-Pacific,Fluence,Frequency Regulation,130.3,521.2,SAMSUNG_SDI,2026-12-01,79.79
ESS_017,USA,North America,AES Corporation,Peak Shaving,69.5,278.0,LGES,2025-04-01,97.84
ESS_018,South Korea,Asia-Pacific,Florida Power & Light,Frequency Regulation,9.0,36.0,LGES,2021-07-01,140.57
ESS_019,South Korea,Asia-Pacific,PG&E,Peak Shaving,119.4,477.6,LGES,2022-04-01,146.78
ESS_020,USA,North America,Duke Energy,Renewable Integration,102.2,408.8,LGES,2024-08-01,107.48
ESS_021,Germany,Europe,Enel Green Power,Peak Shaving,129.5,518.0,SAMSUNG_SDI,2022-11-01,136.15
ESS_022,South Korea,Asia-Pacific,KEPCO,Renewable Integration,46.9,187.6,LGES,2025-01-01,95.41
ESS_023,Germany,Europe,Southern California Edison,Peak Shaving,106.7,426.8,SAMSUNG_SDI,2027-07-01,75.34
ESS_024,Australia,Asia-Pacific,KEPCO,Peak Shaving,31.3,125.2,SAMSUNG_SDI,2022-12-01,142.64
ESS_025,South Korea,Asia-Pacific,Duke Energy,Renewable Integration,17.0,68.0,LGES,2022-09-01,135.56
ESS_026,UK,Europe,Duke Energy,Renewable Integration,51.3,102.6,LGES,2022-10-01,146.3
ESS_027,UK,Europe,Duke Energy,Renewable Integration,139.4,278.8,LGES,2021-11-01,137.02
ESS_028,Australia,Asia-Pacific,Neoen,Renewable Integration,125.1,250.2,SAMSUNG_SDI,2023-06-01,126.48
ESS_029,Australia,Asia-Pacific,Duke Energy,Renewable Integration,76.6,153.2,SAMSUNG_SDI,2026-03-01,88.99
ESS_030,Australia,Asia-Pacific,Duke Energy,Peak Shaving,60.8,121.6,CATL,2024-11-01,81.49
ESS_031,South Korea,Asia-Pacific,Enel Green Power,Renewable Integration,31.0,124.0,LGES,2027-05-01,79.62
ESS_032,UK,Europe,PG&E,Frequency Regulation,9.9,39.6,LGES,2021-08-01,135.43
ESS_033,UK,Europe,Florida Power & Light,Peak Shaving,24.2,48.4,LGES,2024-10-01,109.99
ESS_034,South Korea,Asia-Pacific,Vistra Energy,Frequency Regulation,58.0,116.0,LGES,2025-02-01,99.66
ESS_035,USA,North America,KEPCO,Renewable Integration,120.2,240.4,LGES,2021-08-01,143.41
ESS_036,UK,Europe,Duke Energy,Peak Shaving,91.8,367.2,LGES,2021-03-01,140.84
ESS_037,USA,North America,Vistra Energy,Peak Shaving,127.2,254.4,LGES,2023-08-01,137.05
ESS_038,USA,North America,Vistra Energy,Frequency Regulation,142.7,285.4,LGES,2021-09-01,140.93
ESS_039,USA,North America,AES Corporation,Peak Shaving,83.0,332.0,LGES,2026-01-01,86.19
ESS_040,South Korea,Asia-Pacific,Duke Energy,Renewable Integration,128.5,514.0,LGES,2025-08-01,95.02
